Cod_Loc,IdProvincia,IdDepartamento,Observacion,Categoría,Provincia,Departamento,Localidad,Nombre,Domicilio,Piso,CP,cod_area,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,tipo_gestion,digital,año_act
06854100,06,06854,,Diarios Impresos,Buenos Aires,25 de Mayo,25 de Mayo,La mañana,Calle 11 ,,,2345,466220,,http://www.lamanana.com.ar/,,-35.4362310,-60.1739860,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06588100,06,06588,,Diarios Impresos,Buenos Aires,9 de Julio,9 de Julio,El 9 de Julio ,Av. Vedia 198,,,2317,6111112,redaccion@diarioel9dejulio.com.ar,http://www.diarioel9dejulio.com.ar/,,-35.4522590,-60.8782870,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06077010,06,06077,,Diarios Impresos,Buenos Aires,Arrecifes,Arrecifes,Imagen de Arrecifes ,Euskalerría 493,,,2478,451945,redaccion@diarioimagen.com.ar,,,-34.0640070,-60.1091120,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06035010,06,06035,,Diarios Impresos,Buenos Aires,Avellaneda,Avellaneda,Diario Popular,Estrada 1969,,1872,11,42042778,redaccion@d.popular.com.ar,www.d.popular.com.ar,,-34.6691770,-58.3527660,localización precisa,Industrias Culturales Avellaneda,Privado,Sí,2019
06035010,06,06035,,Diarios Impresos,Buenos Aires,Avellaneda,Avellaneda,La Ciudad de Avellaneda,Lamadrid 125,,1870,11,42226705,laciudad@infovia.com.ar,www.laciudadavellaneda.com.ar/facebook Diario la Ciudad (de Avellaneda),,-34.6640230,-58.3592490,localización precisa,SInCA/ Industrias Culturales de Avellaneda,Privado,Sí,2019
06049020,06,06049,,Diarios Impresos,Buenos Aires,Azul,Azul,El Tiempo ,Belgrano 451,,,2281,426155,administracion@diarioeltiempo.com.ar,https://www.diarioeltiempo.com.ar/,,-36.7769320,-59.8617840,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06056010,06,06056,,Diarios Impresos,Buenos Aires,Bahia Blanca,Bahia Blanca,La Nueva Provincia,Rodriguez 55,,8000,291,4590000,info@lanueva.coma,www.lanueva.com,,-38.7159230,-62.2676750,localización precisa,SInCA,Privado,Sí,2019
06056010,06,06056,,Diarios Impresos,Buenos Aires,Bahia Blanca,Bahia Blanca,Sexta Seccion ,Ciudad de Cali y gral. Angel Peñaloza,,,,,,https://www.lasextaseccion.com.ar/,,-38.6673420,-62.2733200,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06063010,06,06063,,Diarios Impresos,Buenos Aires,Balcarce,Balcarce,La Vanguardia,Av. Chaves  280,Piso 1,7620,2266,422477,info@diariolavanguardia.com,www.diariolavanguardia.com,,-37.8441740,-58.2524320,localización precisa,SInCA,Privado,Sí,2019
06063010,06,06063,,Diarios Impresos,Buenos Aires,Balcarce,Balcarce,El Diario,Calle 17 N° 792,,7620,2266,431500,elsemanal@infovia.com.ar,http://eldiariobalcarce.com.ar/,,-37.8502480,-58.2529600,localización precisa,SInCA,Privado,Sí,2019
06084020,06,06084,,Diarios Impresos,Buenos Aires,Benito Juarez,Benito Juarez,El Fenix ,Av. Libertad 50,,,2292,451277,info@elfenixdigital.com,https://www.elfenixdigital.com,,-37.6729100,-59.8056150,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06098010,06,06098,,Diarios Impresos,Buenos Aires,Berisso,Berisso,El Mundo de Berisso ,Av.Montevideo 1400,.,,221,4612621,redaccion@semanarioelmundo.com.ar,https://semanarioelmundo.com.ar,,-34.8715560,-57.8769310,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06105060,06,06105,,Diarios Impresos,Buenos Aires,Bolivar,Bolivar,La Mañana ,Alvear 47,,,2314,424600,,http://www.diariolamanana.com.ar,,-36.2325180,-61.1123970,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06112010,06,06112,,Diarios Impresos,Buenos Aires,Bragado,Bragado,La Voz de Bragado,I. Suarez 326,,,2342,430200,lavozdebragado@speedy.com.ar,www.lavozdebragado.com.ar,,-35.1149480,-60.4847750,localización precisa,SInCA,Privado,Sí,2019
06126030,06,06126,,Diarios Impresos,Buenos Aires,Campana,Campana,La Autentica Defensa ,Av. Ing. Rocca 161,,,3489,423631,info@laautenticadefensa.com.ar,,,-34.1596720,-58.9589330,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06147030,06,06147,,Diarios Impresos,Buenos Aires,Carlos Casares,Carlos Casares,El Oeste ,Hipolito Yrigoyen 155,,,2395,452646,info@periodicoeloeste.com.ar,http://www.periodicoeloeste.com/,Periódico,-35.6253240,-61.3619160,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
