,index,pais,oro,plata,bronce,total
0,,Estados Unidos,1060,831,738,"2629
"
1,,Unión Soviética,395,319,296,"1010
"
2,,Reino Unido,284,318,314,"916
"
3,,China,262,199,173,"634
"
4,,Alemania,229,259,282,"770
"
5,,Francia,222,253,274,"749
"
6,,Italia,216,188,213,"617
"
7,,Hungría,181,154,176,"511
"
8,,Japón,169,150,178,"497
"
9,,Australia,167,164,212,"553
"
10,,Alemania Oriental,153,129,127,"409
"
11,,Rusia,149,130,154,"433
"
12,,Suecia,148,176,179,"503
"
13,,Finlandia,101,85,119,"305
"
14,,Corea del Sur,96,91,100,"287
"
15,,Países Bajos,95,104,122,"321
"
16,,Rumanía,90,98,122,"310
"
17,,Cuba,85,71,85,"241
"
18,,Polonia,72,89,137,"298
"
19,,Canadá,71,108,147,"326
"
20,,Noruega,60,51,49,"160
"
21,,Alemania Occidental,56,67,81,"204
"
22,,Bulgaria,54,88,82,"224
"
23,,Nueva Zelanda,54,33,53,"140
"
24,,Suiza,53,79,73,"205
"
25,,Checoslovaquia,49,49,45,"143
"
26,,Dinamarca,48,78,79,"205
"
27,,España,48,72,49,"169
"
28,,Equipo Unificado,45,38,29,"112
"
29,,Bélgica,43,54,58,"155
"
30,,Turquía,41,26,37,"104
"
31,,Brasil,37,42,71,"150
"
32,,Grecia,35,44,41,"120
"
33,,Kenia,35,42,36,"113
"
34,,Ucrania,35,36,68,"139
"
35,,Yugoslavia,28,31,31,"90
"
36,,Sudáfrica,27,33,29,"89
"
37,,Jamaica,26,36,25,"87
"
38,,Irán,24,23,29,"76
"
39,,Etiopía,23,12,23,"58
"
40,,Argentina,21,26,30,"77
"
41,,Austria,19,34,41,"94
"
42,,República Checa,19,21,27,"67
"
43,,Corea del Norte,16,16,22,"54
"
44,,Kazajistán,15,21,35,"71
"
45,,Croacia,14,13,14,"41
"
46,,Bielorrusia,13,30,42,"85
"
47,,México,13,24,36,"73
"
48,,Irlanda,11,10,14,"35
"
49,,Eslovaquia,10,14,8,"32
"
50,,Georgia,10,12,18,"40
"
51,,Estonia,10,9,17,"36
"
52,,India,10,9,16,"35
"
53,,Tailandia,10,8,17,"35
"
54,,Uzbekistán,10,6,20,"36
"
55,,Indonesia,8,14,15,"37
"
56,,Egipto,8,11,19,"38
"
57,,Eslovenia,8,9,11,"28
"
58,,Bahamas,8,2,6,"16
"
59,,Azerbaiyán,7,14,28,"49
"
60,,China Taipéi,7,11,18,"36
"
