"Edad","Esta al tanto de la situacion economica del pais?","Conoce usted el teorema de imposibilidad de Arrow?","Que opina del liberalismo?"
"de 17 a 20","Si","Si","estoy de acuerdo con lo que plantea"
"de 17 a 20","No","Me suena","no estoy de acuerdo con lo que plantea"
"de 17 a 20","Si","Si","estoy de acuerdo con lo que plantea"
"mayor de 40","No","No","no estoy de acuerdo con lo que plantea"
"de 31 a 40","Si","No","no estoy de acuerdo con lo que plantea"
"de 17 a 20","No","No","no se lo suficiente para opinar"
"de 17 a 20","Si","Me suena","estoy de acuerdo con lo que plantea"
"de 10 a 16","Si","No","no se lo suficiente para opinar"
"de 10 a 16","Si","No","no se lo suficiente para opinar"
"de 17 a 20","No","No","no se lo suficiente para opinar"
"de 17 a 20","Si","No","no se lo suficiente para opinar"
"de 17 a 20","Si","Me suena","no se lo suficiente para opinar"
"mayor de 40","Si","Me suena","estoy de acuerdo con lo que plantea"
"mayor de 40","Si","No","no estoy de acuerdo con lo que plantea"
"de 21 a 30","Si","Me suena","estoy de acuerdo con lo que plantea"
"de 17 a 20","Si","Me suena","no se lo suficiente para opinar"
"de 17 a 20","Si","Si","estoy de acuerdo con lo que plantea"
"de 21 a 30","Si","No","no se lo suficiente para opinar"
"mayor de 40","Si","No","estoy de acuerdo con lo que plantea"
"de 17 a 20","Si","No","estoy de acuerdo con lo que plantea"
"de 17 a 20","Si","No","estoy de acuerdo con lo que plantea"
"mayor de 40","Si","No","estoy de acuerdo con lo que plantea"
"de 10 a 16","No","No","no se lo suficiente para opinar"
"de 17 a 20","Si","Me suena","estoy de acuerdo con lo que plantea"
"de 17 a 20","Si","Si","no se lo suficiente para opinar"
"de 10 a 16","Si","No","estoy de acuerdo con lo que plantea"
"de 10 a 16","Si","No","estoy de acuerdo con lo que plantea"
