Código_Jurisdicción,Descripción_Jurisdicción,Código_Subjurisdicción,Descripción_Subjurisdicción,Código_Entidad,Descripción_Entidad,Código_Programa,Descripción_Programa,Código_Subprograma,Descripción_Subprograma,Codígo_Inciso,Descripción_Inciso,Código_Principal,Descripción_Principal,Crédito_2021
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,1,Gastos en Personal,1,Personal Permanente,9753687726
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,1,Gastos en Personal,2,Personal Temporario,2362365695
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,1,Gastos en Personal,5,Asistencia Social al Personal,11867182
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,2,Bienes de Consumo,1,"Productos Alimenticios, Agropecuarios y Forestales",10780036
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,2,Bienes de Consumo,2,Textiles y Vestuario,1837644
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,2,Bienes de Consumo,3,"Productos de Papel, Cartón e Impresos",4815958
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,2,Bienes de Consumo,4,Productos de Cuero y Caucho,1673
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,2,Bienes de Consumo,5,"Productos Químicos, Combustibles y Lubricantes",20540285
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,2,Bienes de Consumo,6,Productos de Minerales No Metálicos,546126
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,2,Bienes de Consumo,7,Productos Metálicos,2970028
