Cod_Loc,IdProvincia,IdDepartamento,CategorÃ­a,Provincia,Departamento,Localidad,Nombre,Domicilio,Piso,CP,Cod_area,TelÃ©fono,Mail,Web,InformaciÃ³n adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,aÃ±o_act
6028010,6,6028,Editoriales de Libros,Buenos Aires,Almirante Brown,Almirante Brown,Azul Ediciones,Av. 2 De Abril NÂº1358,,1852.0,11.0,42387615,,,,-34.8400613,-58.3945107,localizaciÃ³n precisa,CAL,2019
6028010,6,6028,Editoriales de Libros,Buenos Aires,Almirante Brown,Almirante Brown,Imago Mundi,San MartÃ­n 1883,,1852.0,11.0,42338252,,https://www.edicionesimagomundi.com/,,-34.8400613,-58.3945107,localizaciÃ³n precisa,ISBN,2019
6035010,6,6035,Editoriales de Libros,Buenos Aires,Avellaneda,Avellaneda,Ediciones Del Mar,Zola 3823/25,,1870.0,11.0,42070027,,,,-34.682955,-58.337511,localizaciÃ³n precisa,CAL,2019
6056010,6,6056,Editoriales de Libros,Buenos Aires,Bahia Blanca,Bahia Blanca,17 grises,Donado 35,4 d,8000.0,291.0,4528948,17grises@gmail.com,http://17grises.blogspot.com.ar/,,-38.7219038,-62.2666186,localizaciÃ³n precisa,SInCA,2019
6056010,6,6056,Editoriales de Libros,Buenos Aires,Bahia Blanca,Bahia Blanca,Casa del Puente Ediciones / Vacasagrada Ediciones /,9 de Julio 545,Piso 2Âº A,8000.0,291.0,155757571,vacasagradaediciones@gmail.com,,,-38.720554,-62.2809635,localizaciÃ³n precisa,ISBN,2019
6056010,6,6056,Editoriales de Libros,Buenos Aires,Bahia Blanca,Bahia Blanca,Editorial de la Universidad Nacional Del Sur,Santiago Del Estero 639,,8000.0,291.0,4595173,,,,-38.704742,-62.266935,localizaciÃ³n precisa,CAL,2019
6056010,6,6056,Editoriales de Libros,Buenos Aires,Bahia Blanca,Bahia Blanca,Hemisferio Derecho / Meraki,Bolivia 416,,8000.0,,,diegorosake@gmail.com,,,-38.7269433,-62.2861985,localizaciÃ³n precisa,ISBN,2019
6056010,6,6056,Editoriales de Libros,Buenos Aires,Bahia Blanca,Bahia Blanca,Induvio Profesional,Beruti 85,,8000.0,291.0,4527524,ventas@dtemas.com.ar,dtemas.com.ar,,-38.722468,-62.269715,localizaciÃ³n precisa,ISBN,2019
6091010,6,6091,Editoriales de Libros,Buenos Aires,Berazategui,Berazategui,EdiBer - Editorial Municipal de Berazategui /,Narizzano 5675,,1884.0,11.0,42562032,ediber@culturaberazategui.gov.ar,www.culturaberazategui.gov.ar,,-34.758018,-58.200522,localizaciÃ³n precisa,ISBN,2019
6091010,6,6091,Editoriales de Libros,Buenos Aires,Berazategui,Berazategui,El Aleph,Calle 18 Nro 5444,,1884.0,11.0,42164821,,,,-34.76156,-58.200414,localizaciÃ³n precisa,CAL,2019
6371010,6,6371,Editoriales de Libros,Buenos Aires,General San Martin,General San Martin,Books Services Company S.R.L.,Francia 3855,,1650.0,11.0,47535758,,,,-34.5757521,-58.5370965,localizaciÃ³n precisa,CAL,2019
6371010,6,6371,Editoriales de Libros,Buenos Aires,General San Martin,General San Martin,Infantil.Com,Monteagudo 755,,1672.0,11.0,47546261,,,,-34.5757521,-58.5370965,localizaciÃ³n precisa,CAL,2019
6371010,6,6371,Editoriales de Libros,Buenos Aires,General San Martin,General San Martin,Unsam Edita,25 De Mayo 1779,,1650.0,11.0,45126360,,,,-34.5807284,-58.5225291,localizaciÃ³n precisa,CAL,2019
6371010,6,6371,Editoriales de Libros,Buenos Aires,General San Martin,General San Martin,"Vestales, Editorial",Cantilo 946,,1650.0,11.0,47131606,,,,-34.5859785,-58.5261074,localizaciÃ³n precisa,CAL,2019
6410010,6,6410,Editoriales de Libros,Buenos Aires,Ituzaingo,Ituzaingo,"Maipue, Editorial",Zufriategui 1153,,1714.0,11.0,46249370,,www.maipue.com.ar,,-34.660075,-58.671218,localizaciÃ³n precisa,CAL,2019
