Cod_Loc,IdProvincia,IdDepartamento,Categoria,Provincia,Localidad,Nombre,Domicilio,CP,Telefono,Mail,Web
6854100,6,6854,Salas de cine,Buenos Aires,25 de mayo,Cine Teatro EspaÃ±ol,Calle 9 entre 29 Y 30,6660.0,,,https://www.instagram.com/teatro_espanol/
6826040,6,6826,Salas de cine,Buenos Aires,30 de agosto,Cine Santa Rosa De Lima,Santa Rosa De Lima 170,6405.0,,,https://www.trenquelauquen.gov.ar
6588100,6,6588,Salas de cine,Buenos Aires,9 de julio,Tu Cine 9 de Julio,Robbio 840,6500.0,,,http://9dejulio.tucine.com.ar/
6028010,6,6028,Salas de cine,Buenos Aires,AdroguÃ©,Cinema Adrogue,Hipolito Yrigoyen 13200,1846.0,,,https://www.cinemaadrogue.com/
6028010,6,6028,Salas de cine,Buenos Aires,AdroguÃ©,CPM Paseo Adrogue,Segui 699,1846.0,,,https://cpmcines.com/
6035010,6,6035,Salas de cine,Buenos Aires,Avellaneda,Cinemark Alto Avellaneda,Guemes 897,1870.0,,,https://www.cinemarkhoyts.com.ar/
6035010,6,6035,Salas de cine,Buenos Aires,Avellaneda,Cinepolis Avellaneda,Autopista Bs. As. - La Plata Km 6,1870.0,,,https://www.cinepolis.com.ar/
6049020,6,6049,Salas de cine,Buenos Aires,Azul,Flix Cinema,Bolivar 416,7300.0,,,http://azul.flixcinema.com.ar/
6056010,6,6056,Salas de cine,Buenos Aires,BahÃ­a Blanca,Cine Vision,Belgrano 153,8000.0,,,https://www.cinesdelcentrobb.com.ar/
6056010,6,6056,Salas de cine,Buenos Aires,BahÃ­a Blanca,Cine Visual,Chiclana 452,8000.0,,,http://www.cinesdelcentrobb.com.ar/
6056010,6,6056,Salas de cine,Buenos Aires,BahÃ­a Blanca,Cinemacenter Bahia Blanca,Av. Sarmiento 2153,8000.0,,,http://www.cinemacenter.com.ar/
6063010,6,6063,Salas de cine,Buenos Aires,Balcarce,Cine Paris 2D Balcarce,Calle 18 684,7620.0,,,https://www.facebook.com/CineParisBalcarce/
6084020,6,6084,Salas de cine,Buenos Aires,Benito Juarez,Centro Cultural Atilio Marinelli,Otamendi y Av. San Martin,7020.0,,,Facebook: Centro Cultural Atilio Marinelli de Benito JuÃ¡rez
6105060,6,6105,Salas de cine,Buenos Aires,Bolivar,Cine Avenida,Av. San Martin 642,6550.0,,,https://www.facebook.com/cineavenidabolivar/
